Adventurer,Category,Pattern,Drop Rate,Strength,IQ,Piety,Vitality,Dexterity,Speed,Luck
Gerulf,Legendary,1,12.5000%,19,9,12,17,16,7,8
Gerulf,Legendary,2,12.5000%,18,9,12,17,16,7,8
Gerulf,Legendary,3,12.5000%,18,9,12,17,16,7,8
Gerulf,Legendary,4,12.5000%,18,9,12,18,16,7,8
Gerulf,Legendary,5,12.5000%,18,9,12,17,17,7,8
Gerulf,Legendary,6,12.5000%,18,9,12,17,16,7 (50.0%) | 8 (50.0%),8
Gerulf,Legendary,7,12.5000%,18,9,12,17,16,7,9
Gerulf,Legendary,8,12.5000%,18,9,12,17,16,7,8
Debra,Legendary,1,12.5000%,11,13,10,13,14,17,10
Debra,Legendary,2,12.5000%,10,13,10,13,14,17,10
Debra,Legendary,3,12.5000%,10,13,10,13,14,17,10
Debra,Legendary,4,12.5000%,10,13,10,14,14,17,10
Debra,Legendary,5,12.5000%,10,13,10,13,15,17,10
Debra,Legendary,6,12.5000%,10,13,10,13,14,18,10
Debra,Legendary,7,12.5000%,10,13,10,13,14,17,11
Debra,Legendary,8,12.5000%,10,13,10,13,14,17,10
Alice,Legendary,1,12.5000%,10,18,14,9,13,13,11
Alice,Legendary,2,12.5000%,9,19,14,9,13,13,11
Alice,Legendary,3,12.5000%,9,18,15,9,13,13,11
Alice,Legendary,4,12.5000%,9,18,14,10,13,13,11
Alice,Legendary,5,12.5000%,9,18,14,9,14,13,11
Alice,Legendary,6,12.5000%,9,18,14,9,13,13,11
Alice,Legendary,7,12.5000%,9,18,14,9,13,13,12
Alice,Legendary,8,12.5000%,9,18,14,9,13,13,11
Adam,Legendary,1,12.5000%,10,16,12,10,15,13,11
Adam,Legendary,2,12.5000%,10,17,12,10,15,13,11
Adam,Legendary,3,12.5000%,10,16,13,10,15,13,11
Adam,Legendary,4,12.5000%,10,16,12,10,15,13,11
Adam,Legendary,5,12.5000%,10,16,12,10,16,13,11
Adam,Legendary,6,12.5000%,10,16,12,10,15,14,11
Adam,Legendary,7,12.5000%,10,16,12,10,15,13,12
Adam,Legendary,8,12.5000%,10,16,12,10,15,13,11
Yekaterina,Legendary,1,12.5000%,11,14,12,13,13,13,11
Yekaterina,Legendary,2,12.5000%,11,15,12,13,13,13,11
Yekaterina,Legendary,3,12.5000%,11,14,13,13,13,13,11
Yekaterina,Legendary,4,12.5000%,11,14,12,14,13,13,11
Yekaterina,Legendary,5,12.5000%,11,14,12,13,14,13,11
Yekaterina,Legendary,6,12.5000%,11,14,12,13,13,14,11
Yekaterina,Legendary,7,12.5000%,11,14,12,13,13,13,12
Yekaterina,Legendary,8,12.5000%,11,14,12,13,13,13,11
Lanavaille,Legendary,1,12.5000%,16,12,13,14,11,12,11
Lanavaille,Legendary,2,12.5000%,15,12,13,14,11,12,11
Lanavaille,Legendary,3,12.5000%,15,12,14,14,11,12,11
Lanavaille,Legendary,4,12.5000%,15,12,13,15,11,12,11
Lanavaille,Legendary,5,12.5000%,15,12,13,14,12,12,11
Lanavaille,Legendary,6,12.5000%,15,12,13,14,11,12,11
Lanavaille,Legendary,7,12.5000%,15,12,13,14,11,12,12
Lanavaille,Legendary,8,12.5000%,15,12,13,14,11,12,11
Elise,General,1,12.5000%,12,15,11,12,15,13,10
Elise,General,2,12.5000%,11,15,11,12,15,13,10
Elise,General,3,12.5000%,11,15,11,12,15,13,10
Elise,General,4,12.5000%,11,15,11,13,15,13,10
Elise,General,5,12.5000%,11,15,11,12,16,13,10
Elise,General,6,12.5000%,11,15,11,12,15,14,10
Elise,General,7,12.5000%,11,15,11,12,15,13,11
Elise,General,8,12.5000%,11,15,11,12,15,13,10
Elda,General,1,12.5000%,13,16,10,11,15,12,11
Elda,General,2,12.5000%,12,16,10,11,15,12,11
Elda,General,3,12.5000%,12,16,10,11,15,12,11
Elda,General,4,12.5000%,12,16,10,12,15,12,11
Elda,General,5,12.5000%,12,16,10,11,16,12,11
Elda,General,6,12.5000%,12,16,10,11,15,13,11
Elda,General,7,12.5000%,12,16,10,11,15,12,12
